id,title,claimText,topic,relatedPeriod,relatedPersons,relatedPlaces,sourcePlatform,sourceUrl,sourceTitle,sourceAuthor,rawSummary,extractedQuestions,defaultLayer,riskLevel,reviewStatus,notes
cc-seed-001,阴山是否对应现代阿尔卑斯山,网络说法把明代或古籍中的阴山解释为欧洲阿尔卑斯山。,疆域,明代,,,,https://example.org/seed/yinshan-alps,待核验网络说法,,仅记录待核验问题，不作为事实。,阴山传统定位;古地图证据;语言学对应,D/X,high,pending_review,地名跨区域对应需要高强度证据
cc-seed-002,梵蒂冈是否对应明代北京,网络说法称梵蒂冈可对应明代北京或皇城体系。,争议事件,明代,,,,https://example.org/seed/vatican-beijing,待核验网络说法,,仅记录待核验问题，不作为事实。,地名来源;制度对应;地图证据,D/X,high,pending_review,概念迁移风险高
cc-seed-003,大秦是否对应罗马或其他欧洲政权,关于大秦与罗马及欧洲政权的对应关系存在网络争议。,外交,明代以前至明代,,,,https://example.org/seed/daqin-rome,待核验网络说法,,仅记录待核验问题，不作为事实。,大秦文献;罗马对应;明代知识传播,D/X,medium,pending_review,需区分古代文献传统和明代认知
cc-seed-004,郑和是否抵达美洲,网络视频称郑和船队曾抵达美洲。,外交,永乐,郑和,,YouTube,https://example.org/seed/zhenghe-america,待核验网络视频,,仅记录待核验问题，不作为事实。,航海路线;考古证据;外部记录,D/X,high,pending_review,不能以视频说法直接作证据
cc-seed-005,明朝疆域是否覆盖欧洲,网络说法称明朝疆域或影响范围覆盖欧洲。,疆域,明代,,,Bilibili,https://example.org/seed/ming-europe,待核验网络视频,,仅记录待核验问题，不作为事实。,疆域定义;控制类型;欧洲文献,D/X,high,pending_review,需严格区分控制和影响
cc-seed-006,明代舆图是否记录全球地理,网络文章称明代舆图已经完整记录全球地理。,科技,明代,,,Website,https://example.org/seed/ming-world-map,待核验文章,,仅记录待核验问题，不作为事实。,舆图年代;地图来源;传播路径,D/X,medium,pending_review,需核验地图版本和成图年代
cc-seed-007,明代火器是否领先欧洲,网络讨论称明代火器整体领先欧洲。,军力,明代,,,Forum,https://example.org/seed/ming-firearms,待核验论坛帖,,仅记录待核验问题，不作为事实。,火器类型;同时期比较;军事制度,D/X,medium,pending_review,比较对象需拆分
cc-seed-008,永乐朝是否存在全球朝贡体系,网络说法称永乐朝建立全球朝贡体系。,外交,永乐,朱棣,,Website,https://example.org/seed/yongle-global-tribute,待核验文章,,仅记录待核验问题，不作为事实。,朝贡定义;访问记录;册封关系,D/X,medium,pending_review,全球一词需降权处理
cc-seed-009,万历不上朝是否等于国家机器停摆,网络说法把万历不上朝直接解释为国家机器停摆。,皇帝评价,万历,朱翊钧,,Zhihu,https://example.org/seed/wanli-state-stop,待核验问答,,仅记录待核验问题，不作为事实。,奏疏流转;内阁票拟;财政军事,D/X,medium,pending_review,需拆分政务机制
cc-seed-010,天启木匠皇帝标签是否过度脸谱化,短视频常以木匠标签概括天启朝政治。,皇帝评价,天启,朱由校,,ShortVideo,https://example.org/seed/tianqi-carpenter,待核验短视频,,仅记录待核验问题，不作为事实。,个人兴趣;朝政结构;阉党政治,D/X,medium,pending_review,人物标签不能替代制度分析
cc-seed-011,崇祯亡国责任是否被过度简化,网络文章常把明亡归因于崇祯个人性格。,制度,崇祯,朱由检,,Website,https://example.org/seed/chongzhen-collapse,待核验文章,,仅记录待核验问题，不作为事实。,财政;军制;灾荒;党争,D/X,medium,pending_review,单因解释需拆解
cc-seed-012,清修明史是否系统性贬低明朝皇帝,网络说法称清修明史全面贬低明朝皇帝。,文化,清代修史,,,Forum,https://example.org/seed/qing-mingshi-bias,待核验论坛帖,,仅记录待核验问题，不作为事实。,修史制度;文本对照;其他史料,D/X,medium,pending_review,Q级叙事只能作为待核验对象
