id,sourceTitle,pageTitle,sourceUrl,dynastyOrDate,topic,expectedLayer,citationFormat,licenseNote,notes
ht-seed-001,明实录公开文本入口,洪武建制 page list 001,https://zh.wikisource.org/wiki/明實錄,洪武,洪武建制,S,明实录公开文本入口：洪武建制 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-002,明实录公开文本入口,洪武建制 page list 002,https://zh.wikisource.org/wiki/明實錄,洪武,洪武建制,S,明实录公开文本入口：洪武建制 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-003,明实录公开文本入口,洪武建制 page list 003,https://zh.wikisource.org/wiki/明實錄,洪武,洪武建制,S,明实录公开文本入口：洪武建制 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-004,明实录公开文本入口,洪武建制 page list 004,https://zh.wikisource.org/wiki/明實錄,洪武,洪武建制,S,明实录公开文本入口：洪武建制 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-005,明实录公开文本入口,洪武建制 page list 005,https://zh.wikisource.org/wiki/明實錄,洪武,洪武建制,S,明实录公开文本入口：洪武建制 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-006,明实录公开文本入口,洪武建制 page list 006,https://zh.wikisource.org/wiki/明實錄,洪武,洪武建制,S,明实录公开文本入口：洪武建制 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-007,明实录公开文本入口,洪武建制 page list 007,https://zh.wikisource.org/wiki/明實錄,洪武,洪武建制,S,明实录公开文本入口：洪武建制 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-008,明实录公开文本入口,永乐北征 page list 001,https://zh.wikisource.org/wiki/明實錄,永乐,永乐北征,S,明实录公开文本入口：永乐北征 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-009,明实录公开文本入口,永乐北征 page list 002,https://zh.wikisource.org/wiki/明實錄,永乐,永乐北征,S,明实录公开文本入口：永乐北征 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-010,明实录公开文本入口,永乐北征 page list 003,https://zh.wikisource.org/wiki/明實錄,永乐,永乐北征,S,明实录公开文本入口：永乐北征 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-011,明实录公开文本入口,永乐北征 page list 004,https://zh.wikisource.org/wiki/明實錄,永乐,永乐北征,S,明实录公开文本入口：永乐北征 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-012,明实录公开文本入口,永乐北征 page list 005,https://zh.wikisource.org/wiki/明實錄,永乐,永乐北征,S,明实录公开文本入口：永乐北征 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-013,明实录公开文本入口,永乐北征 page list 006,https://zh.wikisource.org/wiki/明實錄,永乐,永乐北征,S,明实录公开文本入口：永乐北征 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-014,明实录公开文本入口,永乐北征 page list 007,https://zh.wikisource.org/wiki/明實錄,永乐,永乐北征,S,明实录公开文本入口：永乐北征 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-015,明实录公开文本入口,郑和下西洋 page list 001,https://zh.wikisource.org/wiki/明實錄,永乐,郑和下西洋,S,明实录公开文本入口：郑和下西洋 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-016,明实录公开文本入口,郑和下西洋 page list 002,https://zh.wikisource.org/wiki/明實錄,永乐,郑和下西洋,S,明实录公开文本入口：郑和下西洋 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-017,明实录公开文本入口,郑和下西洋 page list 003,https://zh.wikisource.org/wiki/明實錄,永乐,郑和下西洋,S,明实录公开文本入口：郑和下西洋 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-018,明实录公开文本入口,郑和下西洋 page list 004,https://zh.wikisource.org/wiki/明實錄,永乐,郑和下西洋,S,明实录公开文本入口：郑和下西洋 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-019,明实录公开文本入口,郑和下西洋 page list 005,https://zh.wikisource.org/wiki/明實錄,永乐,郑和下西洋,S,明实录公开文本入口：郑和下西洋 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-020,明实录公开文本入口,郑和下西洋 page list 006,https://zh.wikisource.org/wiki/明實錄,永乐,郑和下西洋,S,明实录公开文本入口：郑和下西洋 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-021,明实录公开文本入口,郑和下西洋 page list 007,https://zh.wikisource.org/wiki/明實錄,永乐,郑和下西洋,S,明实录公开文本入口：郑和下西洋 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-022,明实录公开文本入口,交趾布政司 page list 001,https://zh.wikisource.org/wiki/明實錄,永乐,交趾布政司,S,明实录公开文本入口：交趾布政司 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-023,明实录公开文本入口,交趾布政司 page list 002,https://zh.wikisource.org/wiki/明實錄,永乐,交趾布政司,S,明实录公开文本入口：交趾布政司 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-024,明实录公开文本入口,交趾布政司 page list 003,https://zh.wikisource.org/wiki/明實錄,永乐,交趾布政司,S,明实录公开文本入口：交趾布政司 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-025,明实录公开文本入口,交趾布政司 page list 004,https://zh.wikisource.org/wiki/明實錄,永乐,交趾布政司,S,明实录公开文本入口：交趾布政司 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-026,明实录公开文本入口,交趾布政司 page list 005,https://zh.wikisource.org/wiki/明實錄,永乐,交趾布政司,S,明实录公开文本入口：交趾布政司 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-027,明实录公开文本入口,交趾布政司 page list 006,https://zh.wikisource.org/wiki/明實錄,永乐,交趾布政司,S,明实录公开文本入口：交趾布政司 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-028,明实录公开文本入口,交趾布政司 page list 007,https://zh.wikisource.org/wiki/明實錄,永乐,交趾布政司,S,明实录公开文本入口：交趾布政司 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-029,明实录公开文本入口,奴儿干都司 page list 001,https://zh.wikisource.org/wiki/明實錄,永乐,奴儿干都司,S,明实录公开文本入口：奴儿干都司 page list 001，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-030,明实录公开文本入口,奴儿干都司 page list 002,https://zh.wikisource.org/wiki/明實錄,永乐,奴儿干都司,S,明实录公开文本入口：奴儿干都司 page list 002，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-031,明实录公开文本入口,奴儿干都司 page list 003,https://zh.wikisource.org/wiki/明實錄,永乐,奴儿干都司,S,明实录公开文本入口：奴儿干都司 page list 003，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-032,明实录公开文本入口,奴儿干都司 page list 004,https://zh.wikisource.org/wiki/明實錄,永乐,奴儿干都司,S,明实录公开文本入口：奴儿干都司 page list 004，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-033,明实录公开文本入口,奴儿干都司 page list 005,https://zh.wikisource.org/wiki/明實錄,永乐,奴儿干都司,S,明实录公开文本入口：奴儿干都司 page list 005，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-034,明实录公开文本入口,奴儿干都司 page list 006,https://zh.wikisource.org/wiki/明實錄,永乐,奴儿干都司,S,明实录公开文本入口：奴儿干都司 page list 006，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
ht-seed-035,明实录公开文本入口,奴儿干都司 page list 007,https://zh.wikisource.org/wiki/明實錄,永乐,奴儿干都司,S,明实录公开文本入口：奴儿干都司 page list 007，URL，访问日期,Public text license must be verified before promotion,仅为入口不含原文
